"phenomenon_time";"id_aq_legal_station";"c6h6";"co";"no";"no2";"o3";"nox"
"2018-02-21 13:00:00";26;NULL;"0.17";NULL;"19.13";"68.4";NULL
"2018-02-21 14:00:00";26;NULL;"0.14";NULL;"21.17";"79.96";NULL
"2018-02-21 15:00:00";26;NULL;"0.13";NULL;"19.36";"82.64";NULL
"2018-02-21 16:00:00";26;NULL;"0.12";NULL;"17.59";"83";NULL
"2018-02-21 17:00:00";26;NULL;"0.14";NULL;"18.05";"79.45";NULL
"2018-02-21 18:00:00";26;NULL;"0.14";NULL;"22.36";"71.19";NULL
"2018-02-21 19:00:00";26;NULL;"0.15";NULL;"24.65";"68.25";NULL
"2018-02-21 20:00:00";26;NULL;"0.15";NULL;"21.3";"72.4";NULL
"2018-02-21 21:00:00";26;NULL;"0.17";NULL;"20.98";"64.18";NULL
"2018-02-21 22:00:00";26;NULL;"0.18";NULL;"20.4";"67.9";NULL
"2018-02-21 23:00:00";26;NULL;"0.18";NULL;"17.12";"72.52";NULL
"2018-02-24 00:00:00";26;NULL;"0.24";NULL;"29.71";"42.64";NULL
"2018-02-24 01:00:00";26;NULL;"0.24";NULL;"26.19";"38.44";NULL
"2018-02-24 02:00:00";26;NULL;"0.25";NULL;"37.15";"28.6";NULL
"2018-02-24 03:00:00";26;NULL;"0.24";NULL;"33.12";"24.24";NULL
"2018-02-24 04:00:00";26;NULL;"0.21";NULL;"34.83";"21.08";NULL
"2018-02-24 05:00:00";26;NULL;"0.24";NULL;"40.9";"8.68";NULL
"2018-02-24 06:00:00";26;NULL;"0.25";NULL;"42.8";"18.65";NULL
"2018-02-24 07:00:00";26;NULL;"0.23";NULL;"39.18";"24.14";NULL
"2018-02-24 08:00:00";26;NULL;"0.25";NULL;"43.5";"17.63";NULL
"2018-02-24 09:00:00";26;NULL;"0.33";NULL;"43.79";"20.36";NULL
"2018-02-24 10:00:00";26;NULL;"0.35";NULL;"41.15";"35.67";NULL
"2018-02-24 11:00:00";26;NULL;"0.4";NULL;"41.12";"52.17";NULL
"2018-02-24 12:00:00";26;NULL;"0.29";NULL;"38.13";"56.25";NULL
"2018-02-24 13:00:00";26;NULL;"0.25";NULL;"27.54";"86.37";NULL
"2018-02-24 14:00:00";26;NULL;"0.27";NULL;"26.59";"85.06";NULL
"2018-02-24 15:00:00";26;NULL;"0.28";NULL;"28.82";"95.58";NULL
"2018-02-24 16:00:00";26;NULL;"0.21";NULL;"28.08";"91.97";NULL
"2018-02-24 17:00:00";26;NULL;"0.24";NULL;"35.11";"91.41";NULL
"2018-02-24 18:00:00";26;NULL;"0.31";NULL;"49.24";"70.2";NULL
"2018-02-24 19:00:00";26;NULL;"0.36";NULL;"62.79";"55.78";NULL
"2018-02-24 20:00:00";26;NULL;"0.63";NULL;"80.04";"29.94";NULL
"2018-02-24 21:00:00";26;NULL;"0.52";NULL;"83.9";"23.16";NULL
"2018-02-24 22:00:00";26;NULL;"0.55";NULL;"65.57";"32.31";NULL
"2018-02-24 23:00:00";26;NULL;"0.53";NULL;"52.59";"29.37";NULL
"2018-02-25 00:00:00";26;NULL;"0.51";NULL;"44.15";"36.94";NULL
"2018-02-25 01:00:00";26;NULL;"0.42";NULL;"35.23";"32.62";NULL
"2018-02-25 02:00:00";26;NULL;"0.35";NULL;"35.85";"23.22";NULL
"2018-02-25 03:00:00";26;NULL;"0.32";NULL;"36.11";"20.13";NULL
"2018-02-25 04:00:00";26;NULL;"0.35";NULL;"28.86";"31.02";NULL
"2018-02-25 05:00:00";26;NULL;"0.32";NULL;"27.15";"20.89";NULL
"2018-02-25 06:00:00";26;NULL;"0.28";NULL;"25.49";"27.51";NULL
"2018-02-25 07:00:00";26;NULL;"0.28";NULL;"24.03";"22.48";NULL
"2018-02-25 08:00:00";26;NULL;"0.31";NULL;"24.95";"21.72";NULL
"2018-02-25 09:00:00";26;NULL;"0.3";NULL;"25.98";"32.2";NULL
"2018-02-25 10:00:00";26;NULL;"0.29";NULL;"27.43";"36.69";NULL
"2018-02-25 11:00:00";26;NULL;"0.27";NULL;"28.84";"50.81";NULL
"2018-02-25 12:00:00";26;NULL;"0.24";NULL;"24.86";"70.7";NULL
"2018-02-25 13:00:00";26;NULL;"0.23";NULL;"21.78";"84.24";NULL
"2018-02-25 14:00:00";26;NULL;"0.23";NULL;"19.93";"90.15";NULL
"2018-02-25 15:00:00";26;NULL;"0.23";NULL;"18.97";"90.56";NULL
"2018-02-25 16:00:00";26;NULL;"0.22";NULL;"17.52";"96.75";NULL
"2018-02-25 17:00:00";26;NULL;"0.22";NULL;"18.1";"95.79";NULL
"2018-02-25 18:00:00";26;NULL;"0.23";NULL;"20.6";"91.2";NULL
"2018-02-25 19:00:00";26;NULL;"0.23";NULL;"23.58";"80.29";NULL
"2018-02-25 20:00:00";26;NULL;"0.28";NULL;"32.72";"59.18";NULL
"2018-02-25 21:00:00";26;NULL;"0.27";NULL;"40.9";"67.52";NULL
"2018-02-25 22:00:00";26;NULL;"0.26";NULL;"28.87";"68.59";NULL
"2018-02-25 23:00:00";26;NULL;"0.27";NULL;"20.22";"67.63";NULL
"2018-02-27 09:00:00";26;NULL;"0.56";NULL;"55.48";"44.51";NULL
"2018-02-27 10:00:00";26;NULL;"0.47";NULL;"39.31";"62.66";NULL
"2018-02-27 11:00:00";26;NULL;"0.42";NULL;"30.95";"68.65";NULL
"2018-02-27 12:00:00";26;NULL;"0.38";NULL;"27.25";"75.56";NULL
"2018-02-27 13:00:00";26;NULL;"0.37";NULL;"27.61";"75.73";NULL
"2018-02-27 14:00:00";26;NULL;"0.34";NULL;"27.87";"78.59";NULL
"2018-02-27 15:00:00";26;NULL;"0.3";NULL;"32.24";"72.93";NULL
"2018-02-27 16:00:00";26;NULL;"0.32";NULL;"44.86";"56.75";NULL
"2018-02-27 17:00:00";26;NULL;"0.34";NULL;"66.11";"49.51";NULL
"2018-02-27 18:00:00";26;NULL;"0.41";NULL;"70.33";"44.02";NULL
"2018-02-27 19:00:00";26;NULL;"0.38";NULL;"61.8";"43.64";NULL
"2018-02-27 20:00:00";26;NULL;"0.32";NULL;"56.53";"40.43";NULL
"2018-02-27 21:00:00";26;NULL;"0.3";NULL;"52.95";"39.5";NULL
"2018-02-27 22:00:00";26;NULL;"0.29";NULL;"47.57";"45.43";NULL
"2018-02-27 23:00:00";26;NULL;"0.25";NULL;"39.58";"48.27";NULL
"2018-03-01 00:00:00";26;NULL;"0.35";NULL;"37.78";"36.91";NULL
"2018-03-01 01:00:00";26;NULL;"0.32";NULL;"39.13";"20.57";NULL
"2018-03-01 02:00:00";26;NULL;"0.31";NULL;"41.63";"19.82";NULL
"2018-03-01 03:00:00";26;NULL;"0.31";NULL;"34.29";"27.57";NULL
"2018-03-01 04:00:00";26;NULL;"0.31";NULL;"33.63";"23.28";NULL
"2018-03-01 05:00:00";26;NULL;"0.38";NULL;"35.34";"17.91";NULL
"2018-03-01 06:00:00";26;NULL;"0.41";NULL;"40.3";"13.7";NULL
"2018-03-01 07:00:00";26;NULL;"0.38";NULL;"41.2";"17.14";NULL
"2018-03-01 08:00:00";26;NULL;"0.42";NULL;"44.17";"15.44";NULL
"2018-03-01 09:00:00";26;NULL;"0.4";NULL;"46.32";"18.47";NULL
"2018-03-01 10:00:00";26;NULL;"0.35";NULL;"46.26";"26.01";NULL
