"id";"fuel";"emission_standard";"pollutant";"emission_factor";"vehicle_type"
51;"petrol";"euro 4";"nox";"0.0189550880000646";"passenger_car"
52;"petrol";"euro 5";"co";"0.960199268773321";"passenger_car"
53;"petrol";"euro 5";"nox";"0.0109562267073667";"passenger_car"
54;"petrol";"euro 5";"co";"0.960199268773321";"passenger_car"
55;"petrol";"euro 5";"nox";"0.0109562267073667";"passenger_car"
56;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
57;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
58;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
59;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
60;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
61;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
62;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
63;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
64;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
65;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
66;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
67;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
68;"petrol";"euro 6 2020+";"co";"0.829425849350994";"passenger_car"
69;"petrol";"euro 6 2020+";"nox";"0.0104775695962591";"passenger_car"
70;"petrol";"euro 6 2020+";"co";"0.829425849350994";"passenger_car"
71;"petrol";"euro 6 2020+";"nox";"0.0104775695962591";"passenger_car"
72;"petrol";"euro 6 2020+";"co";"0.829425849350994";"passenger_car"
73;"petrol";"euro 6 2020+";"nox";"0.0104775695962591";"passenger_car"
74;"petrol";"pre ece";"co";"17.4549010345527";"passenger_car"
75;"petrol";"pre ece";"nox";"3.3880000000092";"passenger_car"
76;"petrol";"ece 15/00-01";"co";"24.6392267129405";"passenger_car"
77;"petrol";"ece 15/00-01";"nox";"3.3880000000092";"passenger_car"
78;"petrol";"ece 15/02";"co";"11.0537343385922";"passenger_car"
79;"petrol";"ece 15/02";"nox";"4.08700000000047";"passenger_car"
80;"petrol";"ece 15/03";"co";"10.0497017098327";"passenger_car"
81;"petrol";"ece 15/03";"nox";"4.23187162961659";"passenger_car"
82;"petrol";"ece 15/04";"co";"5.0584269730449";"passenger_car"
83;"petrol";"ece 15/04";"nox";"4.10960000000001";"passenger_car"
84;"petrol";"improved conventional";"co";"3.92180000006112";"passenger_car"
85;"petrol";"improved conventional";"nox";"4.77580000000497";"passenger_car"
86;"petrol";"open loop";"co";"11.0492000000002";"passenger_car"
87;"petrol";"open loop";"nox";"1.70456430561885";"passenger_car"
88;"petrol";"euro 1";"co";"3.10882260461268";"passenger_car"
89;"petrol";"euro 1";"nox";"0.672578843000238";"passenger_car"
90;"petrol";"euro 2";"co";"1.31589846599602";"passenger_car"
91;"petrol";"euro 2";"nox";"0.193024576699303";"passenger_car"
92;"petrol";"euro 3";"co";"2.14264401664022";"passenger_car"
93;"petrol";"euro 3";"nox";"0.0759811849867825";"passenger_car"
94;"petrol";"euro 3";"co";"2.14264401664022";"passenger_car"
95;"petrol";"euro 3";"nox";"0.0759811849867825";"passenger_car"
96;"petrol";"euro 4";"co";"1.10396849584808";"passenger_car"
97;"petrol";"euro 4";"nox";"0.0189550880000646";"passenger_car"
98;"petrol";"euro 4";"co";"1.10396849584808";"passenger_car"
99;"petrol";"euro 4";"nox";"0.0189550880000646";"passenger_car"
100;"petrol";"euro 5";"co";"0.960199268773321";"passenger_car"
101;"petrol";"euro 5";"nox";"0.0109562267073667";"passenger_car"
102;"petrol";"euro 5";"co";"0.960199268773321";"passenger_car"
103;"petrol";"euro 5";"nox";"0.0109562267073667";"passenger_car"
104;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
105;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
106;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
107;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
108;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
109;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
110;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
111;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
112;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
113;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
114;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
115;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
116;"petrol";"euro 6 2020+";"co";"0.829425849350994";"passenger_car"
117;"petrol";"euro 6 2020+";"nox";"0.0104775695962591";"passenger_car"
118;"petrol";"euro 6 2020+";"co";"0.829425849350994";"passenger_car"
119;"petrol";"euro 6 2020+";"nox";"0.0104775695962591";"passenger_car"
