id;fuel;emission_standard;registration_year;class
375;petrol;euro 2;2005;motorcycle
377;petrol;euro 3;2007;motorcycle
378;petrol;euro 3;2008;motorcycle
379;petrol;euro 3;2009;motorcycle
380;petrol;euro 3;2010;motorcycle
381;petrol;euro 3;2011;motorcycle
382;petrol;euro 3;2012;motorcycle
383;petrol;euro 3;2013;motorcycle
384;petrol;euro 3;2014;motorcycle
385;petrol;euro 3;2015;motorcycle
386;petrol;euro 3;2016;motorcycle
387;petrol;euro 4;2017;motorcycle
388;petrol;euro 1;1989;motorcycle
389;petrol;euro 1;1990;motorcycle
390;petrol;euro 1;1991;motorcycle
391;petrol;euro 1;1992;motorcycle
392;petrol;euro 1;1993;motorcycle
393;petrol;euro 1;1994;motorcycle
394;petrol;euro 1;1995;motorcycle
395;petrol;euro 1;1996;motorcycle
396;petrol;euro 1;1998;motorcycle
398;lpg;conventional;1989;car
399;diesel;conventional;1990;car
400;diesel;conventional;1991;car
401;diesel;conventional;1992;car
402;diesel;euro 1;1993;car
403;diesel;euro 1;1994;car
404;diesel;euro 1;1995;car
405;diesel;euro 1;1996;car
406;diesel;euro 2;1997;car
407;diesel;euro 2;1998;car
408;diesel;euro 2;1999;car
409;diesel;euro 2;2000;car
410;diesel;euro 3;2001;car
411;diesel;euro 3;2002;car
413;diesel;euro 3;2004;car
414;diesel;euro 3;2005;car
415;diesel;euro 4;2006;car
416;diesel;euro 4;2007;car
417;diesel;euro 4;2008;car
418;diesel;euro 4;2009;car
419;diesel;euro 4;2010;car
420;diesel;euro 5;2011;car
421;diesel;euro 5;2012;car
422;diesel;euro 5;2013;car
423;diesel;euro 5;2014;car
424;diesel;euro 6 up to 2016;2015;car
425;diesel;euro 6 up to 2016;2016;car
426;diesel;euro 6 2017-2019;2017;car
427;diesel;conventional;1989;car
428;diesel;conventional;1990;car
429;diesel;conventional;1991;car
430;diesel;conventional;1992;car
432;diesel;euro 1;1994;car
433;diesel;euro 1;1995;car
434;diesel;euro 1;1996;car
435;diesel;euro 2;1997;car
436;diesel;euro 2;1998;car
437;diesel;euro 2;1999;car
438;diesel;euro 2;2000;car
439;diesel;euro 3;2001;car
440;diesel;euro 3;2002;car
441;diesel;euro 3;2003;car
442;diesel;euro 3;2004;car
443;diesel;euro 3;2005;car
444;diesel;euro 4;2006;car
445;diesel;euro 4;2007;car
446;diesel;euro 4;2008;car
447;diesel;euro 4;2009;car
448;diesel;euro 4;2010;car
449;diesel;euro 5;2011;car
451;diesel;euro 5;2013;car
452;diesel;euro 5;2014;car
453;diesel;euro 6 up to 2016;2015;car
454;diesel;euro 6 up to 2016;2016;car
455;diesel;euro 6 2017-2019;2017;car
456;diesel;conventional;1989;car
457;diesel;conventional;1990;car
458;diesel;conventional;1991;car
459;diesel;conventional;1992;car
460;diesel;euro 1;1993;car
461;diesel;euro 1;1994;car
462;diesel;euro 1;1995;car
463;diesel;euro 1;1996;car
464;diesel;euro 2;1997;car
465;diesel;euro 2;1998;car
466;diesel;euro 2;1999;car
467;diesel;euro 2;2000;car
468;diesel;euro 3;2001;car
470;diesel;euro 3;2003;car
471;diesel;euro 3;2004;car
472;diesel;euro 3;2005;car
473;diesel;euro 4;2006;car
474;diesel;euro 4;2007;car
368;petrol;euro 1;1998;motorcycle
369;petrol;euro 1;1999;motorcycle
478;diesel;euro 5;2011;car
479;diesel;euro 5;2012;car
480;diesel;euro 5;2013;car
481;diesel;euro 5;2014;car
482;diesel;euro 6 up to 2016;2015;car
483;diesel;euro 6 up to 2016;2016;car
484;diesel;euro 6 2017-2019;2017;car
486;diesel;conventional;1991;car
487;diesel;euro 1;1994;car
488;diesel;euro 1;1996;car
489;diesel;euro 2;1997;car
490;diesel;euro 2;1998;car
491;diesel;euro 2;1999;car
492;diesel;euro 2;2000;car
493;diesel;euro 3;2001;car
494;diesel;euro 3;2002;car
495;diesel;euro 3;2003;car
496;diesel;euro 3;2004;car
497;diesel;euro 3;2005;car
498;diesel;euro 4;2006;car
499;diesel;euro 4;2007;car
500;diesel;euro 4;2008;car
501;diesel;euro 4;2009;car
502;diesel;euro 4;2010;car
503;diesel;euro 5;2011;car
505;diesel;euro 5;2013;car
506;diesel;euro 5;2014;car
507;diesel;euro 6 up to 2016;2015;car
508;diesel;euro 6 up to 2016;2016;car
509;diesel;euro 6 2017-2019;2017;car
510;diesel;conventional;1989;car
511;lpg;euro 5;2012;car
512;lpg;euro 5;2013;car
513;lpg;euro 5;2014;car
514;lpg;euro 6;2015;car
515;lpg;euro 6;2016;car
516;lpg;euro 6;2017;car
517;lpg;euro 4;2008;car
518;lpg;euro 4;2010;car
519;lpg;euro 5;2011;car
520;lpg;euro 5;2014;car
521;lpg;euro 6;2015;car
522;lpg;euro 6;2016;car
524;lpg;euro 3;2004;car
525;lpg;euro 4;2006;car
526;lpg;euro 4;2008;car
527;lpg;euro 5;2013;car
528;lpg;euro 5;2014;car
529;lpg;euro 6;2015;car
530;lpg;euro 6;2016;car
531;lpg;euro 6;2017;car
532;cng;euro 6;2015;car
533;cng;euro 6;2016;car
534;cng;euro 6;2017;car
535;cng;euro 5;2014;car
536;cng;euro 6;2016;car
537;petrol;ece 15/04;1990;car
538;petrol;ece 15/04;1991;car
539;petrol;ece 15/04;1992;car
540;petrol;euro 1;1993;car
541;petrol;euro 1;1994;car
543;petrol;euro 1;1996;car
544;petrol;euro 2;1997;car
545;petrol;euro 2;1998;car
546;petrol;euro 2;1999;car
547;petrol;euro 2;2000;car
548;petrol;euro 3;2001;car
549;petrol;euro 3;2002;car
550;petrol;euro 3;2003;car
551;petrol;euro 3;2004;car
552;petrol;euro 3;2005;car
553;petrol;euro 4;2006;car
554;petrol;euro 4;2007;car
555;petrol;euro 4;2008;car
556;petrol;euro 4;2009;car
557;petrol;euro 4;2010;car
558;petrol;euro 5;2011;car
559;petrol;euro 5;2012;car
560;petrol;euro 5;2013;car
562;petrol;euro 6 up to 2016;2015;car
563;petrol;euro 6 up to 2016;2016;car
564;petrol;euro 6 2017-2019;2017;car
565;petrol;ece 15/04;1989;car
566;petrol;ece 15/04;1990;car
567;petrol;ece 15/04;1991;car
568;petrol;ece 15/04;1992;car
569;petrol;euro 1;1993;car
570;petrol;euro 1;1994;car
571;petrol;euro 1;1995;car
572;petrol;euro 1;1996;car
573;petrol;euro 2;1997;car
574;petrol;euro 2;1998;car
575;petrol;euro 2;1999;car
576;petrol;euro 2;2000;car
577;petrol;euro 3;2001;car
578;petrol;euro 3;2002;car
579;petrol;euro 3;2003;car
581;petrol;euro 3;2005;car
476;diesel;euro 4;2009;car
477;diesel;euro 4;2010;car
602;petrol;euro 2;1997;car
603;petrol;euro 2;1998;car
604;petrol;euro 2;1999;car
624;petrol;ece 15/04;1990;car
625;petrol;ece 15/04;1991;car
