"segment_number","node_start","node_end","id_road_section"
0,"213598403","213598328","20197514"
0,"213598545","3594540762","20197516"
1,"3594540762","1950794914","20197516"
2,"1950794914","3594540761","20197516"
0,"213598610","481433491","20197517"
1,"481433491","213598383","20197517"
0,"3594540761","1950857585","20197518"
1,"1950857585","1950857626","20197518"
0,"213598807","1614411814","20197520"
1,"1614411814","1614411803","20197520"
2,"1614411803","213598838","20197520"
3,"213598838","1392635787","20197520"
4,"1392635787","4184007588","20197520"
5,"4184007588","213598846","20197520"
0,"1502350846","213598894","20197521"
0,"213598894","213598781","20197523"
0,"213598906","213741537","20211815"
0,"213741575","213598906","20211818"
0,"213741560","213741569","20211819"
0,"213741560","932354552","20211821"
0,"932354552","213741569","20211824"
0,"213741731","213741740","20211829"
0,"263226784","260300608","20211836"
0,"213741722","263226784","20211837"
0,"213741843","960117096","20211840"
0,"213757051","30438749","20212977"
1,"30438749","30389513","20212977"
0,"3223494331","30438470","20212978"
1,"30438470","213757051","20212978"
2,"213757051","3223494331","20212978"
0,"30438470","30389515","20215591"
1,"30389515","1243352561","20215591"
2,"1243352561","257370720","20215591"
0,"257370720","30389408","20215592"
1,"30389408","4195970829","20215592"
0,"213797628","213797633","20215593"
0,"215814196","249092373","20381866"
0,"41345983","215943018","20381868"
0,"1914265796","1387590629","20381870"
1,"1387590629","41346027","20381870"
0,"156233731","3063460592","20382178"
0,"1914265822","215942997","20382350"
0,"216891311","216891297","20382971"
0,"82527956","263370061","20382975"
0,"249093257","3723931068","20798302"
1,"3723931068","3723965128","20798302"
2,"3723965128","3723931117","20798302"
0,"156334214","519112773","20802510"
0,"223553021","223553010","20812982"
1,"223553010","59749795","20812982"
0,"223594254","800488378","20815438"
1,"800488378","223594280","20815438"
0,"1859995647","3810981235","22661928"
0,"243066344","243066379","22661929"
1,"243066379","243066370","22661929"
0,"243066382","5043740563","22661930"
1,"5043740563","243066384","22661930"
0,"243066392","243066396","22661931"
0,"59749785","5238024704","22661933"
1,"5238024704","5238024696","22661933"
