"road_type","id_vehicle","vehicles_percentage","road_slope"
"highway",349,"10",NULL
"urban",350,"80",NULL
"rural",350,"10",NULL
"highway",350,"10",NULL
"urban",351,"80",NULL
"rural",351,"10",NULL
"highway",351,"10",NULL
"urban",352,"80",NULL
"rural",352,"10",NULL
"highway",352,"10",NULL
"urban",353,"80",NULL
"rural",353,"10",NULL
"highway",353,"10",NULL
"urban",354,"80",NULL
"rural",354,"10",NULL
"highway",354,"10",NULL
"urban",355,"80",NULL
"rural",355,"10",NULL
"highway",355,"10",NULL
"urban",356,"80",NULL
"rural",356,"10",NULL
"highway",356,"10",NULL
"urban",357,"80",NULL
"rural",357,"10",NULL
"highway",357,"10",NULL
"urban",358,"80",NULL
"rural",358,"10",NULL
"highway",358,"10",NULL
"urban",359,"80",NULL
"rural",359,"10",NULL
"highway",359,"10",NULL
"urban",360,"80",NULL
"rural",360,"10",NULL
"highway",360,"10",NULL
"urban",361,"80",NULL
"rural",361,"10",NULL
"highway",361,"10",NULL
"urban",362,"80",NULL
"rural",362,"10",NULL
"highway",362,"10",NULL
"urban",363,"80",NULL
"rural",363,"10",NULL
"highway",363,"10",NULL
"urban",364,"80",NULL
"rural",364,"10",NULL
"highway",364,"10",NULL
"urban",365,"80",NULL
"rural",365,"10",NULL
"highway",365,"10",NULL
"urban",366,"80",NULL
"rural",366,"10",NULL
"highway",366,"10",NULL
"urban",367,"80",NULL
"rural",367,"10",NULL
"highway",367,"10",NULL
"urban",368,"80",NULL
"rural",368,"10",NULL
"highway",368,"10",NULL
"urban",369,"80",NULL
"rural",369,"10",NULL
"highway",369,"10",NULL
"urban",370,"80",NULL
"highway",372,"10",NULL
"rural",376,"10",NULL
"urban",380,"80",NULL
"highway",383,"10",NULL
"rural",387,"10",NULL
"urban",391,"80",NULL
"highway",394,"10",NULL
"rural",398,"10",NULL
"urban",402,"80",NULL
"highway",405,"10",NULL
"urban",409,"80",NULL
"rural",409,"10",NULL
"highway",409,"10",NULL
"urban",410,"80",NULL
"rural",410,"10",NULL
"highway",410,"10",NULL
"urban",411,"80",NULL
"rural",411,"10",NULL
"highway",411,"10",NULL
"urban",412,"80",NULL
"rural",412,"10",NULL
"highway",412,"10",NULL
"urban",413,"80",NULL
"rural",413,"10",NULL
"highway",413,"10",NULL
"urban",414,"80",NULL
"rural",414,"10",NULL
"highway",414,"10",NULL
"urban",415,"80",NULL
"rural",415,"10",NULL
"highway",415,"10",NULL
"urban",416,"80",NULL
"rural",416,"10",NULL
"highway",416,"10",NULL
"urban",417,"80",NULL
"rural",417,"10",NULL
"highway",417,"10",NULL
"urban",418,"80",NULL
"rural",418,"10",NULL
"highway",418,"10",NULL
"urban",419,"80",NULL
"rural",419,"10",NULL
"highway",419,"10",NULL
"urban",420,"80",NULL
"rural",420,"10",NULL
"highway",420,"10",NULL
"urban",421,"80",NULL
"rural",421,"10",NULL
"highway",421,"10",NULL
"urban",422,"80",NULL
"rural",422,"10",NULL
"highway",422,"10",NULL
"urban",423,"80",NULL
"rural",423,"10",NULL
"highway",423,"10",NULL
"urban",424,"80",NULL
"rural",424,"10",NULL
"highway",424,"10",NULL
"urban",425,"80",NULL
"rural",425,"10",NULL
"highway",425,"10",NULL
"urban",426,"80",NULL
"rural",426,"10",NULL
"highway",426,"10",NULL
"urban",427,"80",NULL
"rural",427,"10",NULL
"highway",427,"10",NULL
"urban",428,"80",NULL
"rural",428,"10",NULL
"highway",428,"10",NULL
"urban",429,"80",NULL
"rural",429,"10",NULL
"highway",429,"10",NULL
"urban",430,"80",NULL
"rural",430,"10",NULL
"highway",430,"10",NULL
"urban",431,"80",NULL
"rural",431,"10",NULL
"highway",431,"10",NULL
"rural",434,"10",NULL
"urban",438,"80",NULL
"highway",441,"10",NULL
"rural",445,"10",NULL
"urban",449,"80",NULL
"highway",452,"10",NULL
"rural",456,"10",NULL
"urban",460,"80",NULL
"highway",463,"10",NULL
"rural",467,"10",NULL
"highway",470,"10",NULL
"urban",471,"80",NULL
"rural",471,"10",NULL
"highway",471,"10",NULL
"urban",472,"80",NULL
"rural",472,"10",NULL
"highway",472,"10",NULL
"urban",473,"80",NULL
"rural",473,"10",NULL
"highway",473,"10",NULL
"urban",474,"80",NULL
"rural",474,"10",NULL
"highway",474,"10",NULL
"urban",475,"80",NULL
"rural",475,"10",NULL
"highway",475,"10",NULL
"urban",476,"80",NULL
"rural",476,"10",NULL
"highway",476,"10",NULL
"urban",477,"80",NULL
"rural",477,"10",NULL
"highway",477,"10",NULL
"urban",478,"80",NULL
"rural",478,"10",NULL
"highway",478,"10",NULL
"urban",479,"80",NULL
"rural",479,"10",NULL
"highway",479,"10",NULL
"urban",480,"80",NULL
"rural",480,"10",NULL
"highway",480,"10",NULL
"urban",481,"80",NULL
"rural",481,"10",NULL
"highway",481,"10",NULL
"urban",482,"80",NULL
"rural",482,"10",NULL
"highway",482,"10",NULL
"urban",483,"80",NULL
"rural",483,"10",NULL
"highway",483,"10",NULL
"urban",484,"80",NULL
"rural",484,"10",NULL
"highway",484,"10",NULL
"urban",485,"80",NULL
"rural",485,"10",NULL
"highway",485,"10",NULL
"urban",486,"80",NULL
"rural",486,"10",NULL
"highway",486,"10",NULL
"urban",487,"80",NULL
"rural",487,"10",NULL
"highway",487,"10",NULL
"urban",488,"80",NULL
"rural",488,"10",NULL
"highway",488,"10",NULL
"urban",489,"80",NULL
"rural",489,"10",NULL
"highway",489,"10",NULL
"urban",490,"80",NULL
"rural",490,"10",NULL
"highway",490,"10",NULL
"urban",491,"80",NULL
"rural",491,"10",NULL
"highway",491,"10",NULL
"urban",492,"80",NULL
"rural",492,"10",NULL
"highway",492,"10",NULL
"urban",493,"80",NULL
"rural",493,"10",NULL
"urban",496,"80",NULL
"highway",499,"10",NULL
"rural",503,"10",NULL
"urban",507,"80",NULL
"highway",510,"10",NULL
"rural",514,"10",NULL
"urban",518,"80",NULL
"highway",521,"10",NULL
"rural",525,"10",NULL
"urban",529,"80",NULL
"rural",532,"10",NULL
"highway",532,"10",NULL
"urban",533,"80",NULL
"rural",533,"10",NULL
"highway",533,"10",NULL
"urban",534,"80",NULL
"rural",534,"10",NULL
"highway",534,"10",NULL
"urban",535,"80",NULL
"rural",535,"10",NULL
"highway",535,"10",NULL
"urban",536,"80",NULL
"rural",536,"10",NULL
"highway",536,"10",NULL
"urban",537,"80",NULL
"rural",537,"10",NULL
"highway",537,"10",NULL
"urban",538,"80",NULL
"rural",538,"10",NULL
"highway",538,"10",NULL
"urban",539,"80",NULL
"rural",539,"10",NULL
"highway",539,"10",NULL
"urban",540,"80",NULL
"rural",540,"10",NULL
"highway",540,"10",NULL
"urban",541,"80",NULL
"rural",541,"10",NULL
"highway",541,"10",NULL
"urban",542,"80",NULL
"rural",542,"10",NULL
"highway",542,"10",NULL
"urban",543,"80",NULL
"rural",543,"10",NULL
"highway",543,"10",NULL
"urban",544,"80",NULL
"rural",544,"10",NULL
"highway",544,"10",NULL
"urban",545,"80",NULL
"rural",545,"10",NULL
"highway",545,"10",NULL
"urban",546,"80",NULL
"rural",546,"10",NULL
"highway",546,"10",NULL
"urban",547,"80",NULL
"rural",547,"10",NULL
"highway",547,"10",NULL
"urban",548,"80",NULL
"rural",548,"10",NULL
"highway",548,"10",NULL
"urban",549,"80",NULL
"rural",549,"10",NULL
"highway",549,"10",NULL
"urban",550,"80",NULL
"rural",550,"10",NULL
"highway",550,"10",NULL
"urban",551,"80",NULL
"rural",551,"10",NULL
"highway",551,"10",NULL
"urban",552,"80",NULL
"rural",552,"10",NULL
"highway",552,"10",NULL
